event_id,region,latitude,longitude,date,fire_radiative_power,confidence,brightness_temp,area_km2,frp_threshold,risk_level,fire_risk_score,weather_temperature,weather_wind_speed,weather_humidity,weather_precipitation
predicted_americas_2023_1_6,americas,29.68409444431048,-102.86035215567168,2023-01-15,28253.882664672168,85,349.1485845683767,34.54074880097103,100,high,60,25.922518033996866,3.864516019821167,19.477418899536133,0.0645161271095275
predicted_southwest_2023_2_235,southwest,33.68942619001813,-104.43747682581802,2023-02-15,33034.65860332088,85,373.2423017995203,45.51135653683367,100,high,68,26.583939988603806,5.342857360839844,19.735713958740234,0.1571428626775741
predicted_americas_2023_2_256,americas,36.342760403143686,-101.65891974384309,2023-02-15,37128.93493944712,99,389.5013680367962,44.19828273889693,100,extreme,78,31.215534393841388,5.514285564422607,18.94285774230957,0.3071428537368774
predicted_americas_2023_3_428,americas,30.56258864546212,-102.81399093402042,2023-03-15,35556.111200905194,85,391.9844928558807,40.59325539292785,100,high,68,28.655068247406074,4.248386859893799,13.41290283203125,0.2903225719928741
predicted_americas_2023_3_429,americas,29.8610446570887,-101.68257293703529,2023-03-15,28214.681969096837,85,357.5119497722283,37.345802909615486,100,high,63,32.288055200235874,5.2580647468566895,25.05806541442871,0.7129032611846924
predicted_southwest_2023_3_444,southwest,33.96046854600612,-107.6970611034324,2023-03-15,33112.99607050129,85,374.9842513438437,40.380593043690126,100,high,68,26.30793851920166,4.822580814361572,17.2193546295166,0.2709677517414093
predicted_southwest_2023_3_445,southwest,34.36381557638519,-105.13906676693333,2023-03-15,32213.96983251188,85,361.6380155879787,40.20341478379269,100,high,68,26.29286767386834,4.483870983123779,13.906451225280762,0.0774193555116653
predicted_southwest_2023_3_446,southwest,34.480073035702226,-104.1189440085802,2023-03-15,35909.97471496132,85,378.19928605427754,40.604111848908595,100,high,68,25.13931792987402,5.006451606750488,13.27419376373291,0.0
predicted_southwest_2023_3_465,southwest,34.658907819232454,-105.65305772625224,2023-03-15,34259.133847645506,85,364.28935971099145,37.47520456175004,100,high,68,25.287472163676313,4.983870983123779,16.638710021972656,0.4709677398204803
predicted_southwest_2023_3_467,southwest,36.140093465229725,-102.10632153982938,2023-03-15,30704.42979126804,85,366.74713377230563,37.73398230987276,100,high,68,32.37756844790445,4.993548393249512,20.583871841430664,0.125806450843811
predicted_americas_2023_3_490,americas,36.84162735271665,-100.00164918935012,2023-03-15,34616.54948130428,85,363.2467658231781,36.59183485132525,100,high,68,33.64262699542565,4.706451416015625,21.15483856201172,0.106451615691185
predicted_americas_2023_4_639,americas,30.641696097119752,-103.76182855003549,2023-04-15,36085.15435766127,85,363.48624768918654,39.46058537175105,100,high,68,25.736487448031145,4.336666584014893,13.06999969482422,0.1233333349227905
predicted_americas_2023_4_640,americas,29.570057201139065,-99.76070072526119,2023-04-15,41102.645649486825,99,376.6330688107918,52.70645130850921,100,extreme,88,35.292040476171515,4.99666690826416,19.74333381652832,0.0366666689515113
predicted_california_2023_4_651,california,33.133389469689256,-115.61552836904289,2023-04-15,30274.238080822455,85,375.5838401188078,32.9623341883457,100,high,60,26.857598535457196,2.68666672706604,10.74666690826416,0.0
predicted_southwest_2023_4_652,southwest,33.28259319829625,-113.94315516748448,2023-04-15,29198.25158495232,85,360.39355754994193,35.79166548305007,100,high,60,27.11967767202331,2.7166666984558105,10.196666717529297,0.0
predicted_southwest_2023_4_655,southwest,31.904810752620303,-108.03978013392265,2023-04-15,29290.77050284568,85,369.1083637869222,34.720608265728764,100,high,68,25.444764922353276,4.326666831970215,8.380000114440918,0.0
predicted_southwest_2023_4_656,southwest,32.37339756162979,-106.21704169821501,2023-04-15,32916.66814239384,85,346.7135087548148,33.44523949712824,100,high,68,27.547831536268166,4.28000020980835,12.75333309173584,0.0
predicted_california_2023_4_670,california,34.05441686654561,-116.50114242464359,2023-04-15,30637.097432879997,85,354.53161544805215,32.036425779103276,100,high,60,29.454943399937747,2.946666717529297,19.07333374023437,0.0
